ICE FLAVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDS PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,,"Calories
from Fat",,,Fat,,,"Saturated
Fat",,,,,,"Trans
Fat",,,Cholesterol,,,,,,,Sodium,,,"Total
Carbohydrates",,,,,,"Dietary
Fiber",,,,Total Sugar,,,,"Added
Sugar",,,,,Protein,,,,,Vitamin D,,,,,"Vitamin D
(% DV)",,,,Calcium,,,,"Calcium
(%DV)",,,Iron,,"Iron
(%DV)",,,,Potassium,,,,"Potassium
(%DV)",,,,,,,
,Cookie Dough,,,240,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,70,,,52,,,,,,0,,,,47,,,,47,,,,,1,,,,,0,,,,,0,,,,8,,,,0,,,0,,2,,,,35,,,,1,,,,,,,
,Cookies & Cream,,,270,,,,,25,,,3,,,2,,,,,,0,,,0,,,,,,,65,,,62,,,,,,0,,,,58,,,,57,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,2,,,,15,,,,0,,,,,,,
,Frozen Hot Cocoa,,,240,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,60,,,56,,,,,,1,,,,53,,,,52,,,,,1,,,,,0,,,,,0,,,,10,,,,0,,,0,,0,,,,51,,,,2,,,,,,,
,Fudge Brownie,,,300,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,80,,,66,,,,,,0,,,,59,,,,59,,,,,1,,,,,0,,,,,0,,,,13,,,,2,,,1,,4,,,,100,,,,3,,,,,,,
,Marshmallow Peanut Butter,,,290,,,,,60,,,7,,,3,,,,,,0,,,0,,,,,,,85,,,58,,,,,,0,,,,55,,,,55,,,,,2,,,,,0,,,,,0,,,,12,,,,2,,,1,,2,,,,55,,,,2,,,,,,,
,Mint Chocolate Chip,,,240,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,45,,,52,,,,,,0,,,,49,,,,49,,,,,1,,,,,0,,,,,0,,,,9,,,,0,,,1,,4,,,,40,,,,1,,,,,,,
,Mint Oreo,,,230,,,,,25,,,3,,,2,,,,,,0,,,0,,,,,,,65,,,52,,,,,,0,,,,48,,,,32,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,2,,,,5,,,,0,,,,,,,
,Orange Cream,,,210,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,45,,,48,,,,,,0,,,,44,,,,30,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,22,,,,0,,,,,,,
,Pumpkin Cheesecake,,,200,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,30,,,46,,,,,,0,,,,42,,,,19,,,,,0,,,,,0,,,,,0,,,,9,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Pumpkin Pie,,,190,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,50,,,42,,,,,,0,,,,38,,,,38,,,,,0,,,,,0,,,,,0,,,,11,,,,2,,,0,,2,,,,20,,,,1,,,,,,,
,Root Beer Float,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,47,,,,,,0,,,,45,,,,45,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,S'mores,,,260,,,,,30,,,3,,,3,,,,,,0,,,0,,,,,,,50,,,59,,,,,,0,,,,57,,,,57,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,1,,4,,,,35,,,,1,,,,,,,
,Shamrock,,,230,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,50,,,53,,,,,,0,,,,51,,,,51,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,14,,,,0,,,,,,,
,Strawberry-Banana,,,240,,,,,20,,,3,,,2,,,,,,0,,,0,,,,,,,50,,,55,,,,,,0,,,,52,,,,50,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,25,,,,1,,,,,,,
,Strawberry Cheesecake,,,230,,,,,25,,,3,,,2,,,,,,0,,,0,,,,,,,55,,,53,,,,,,0,,,,51,,,,22,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
ICE FLAVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDS PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,,"Calories
from Fat",,,Fat,,,"Saturated
Fat",,,,,,"Trans
Fat",,,Cholesterol,,,,,,,Sodium,,,"Total
Carbohydrates",,,,,,"Dietary
Fiber",,,,Total Sugar,,,,"Added
Sugar",,,,,Protein,,,,,Vitamin D,,,,,"Vitamin D
(% DV)",,,,Calcium,,,,"Calcium
(%DV)",,,Iron,,"Iron
(%DV)",,,,Potassium,,,,"Potassium
(%DV)",,,,,,,
,Strawberries n' Cream,,,240,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,45,,,55,,,,,,0,,,,51,,,,27,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,11,,,,0,,,,,,,
,Vanilla Cream,,,210,,,,,20,,,2,,,2,,,,,,0,,,0,,,,,,,50,,,47,,,,,,0,,,,44,,,,44,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,20,,,,1,,,,,,,
,Watermelon Chip,,,260,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,50,,,59,,,,,,0,,,,55,,,,54,,,,,1,,,,,0,,,,,0,,,,9,,,,0,,,1,,4,,,,40,,,,1,,,,,,,
"Smart
Snack Ice",MaliBLU Freeze,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,35,,,51,,,,,,0,,,,48,,,,9,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,39,,,,0,,,,,,,
,Razzle Red,,,270,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,15,,,69,,,,,,0,,,,66,,,,24,,,,,0,,,,,0,,,,,0,,,,5,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Very Bery,,,220,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,15,,,56,,,,,,0,,,,55,,,,31,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,2,,,,0,,,,,,,
Sugar-Free Ice,S/F Cherry,,,90,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,20,,,32,,,,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,9,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,S/F Dragon Fruit,,,120,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,20,,,42,,,,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,10,,,,2,,,0,,0,,,,25,,,,1,,,,,,,
,S/F Mango Peach,,,120,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,20,,,31,,,,,,0,,,,1,,,,0,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,S/F Pink Lemonade,,,70,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,20,,,26,,,,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,5,,,,0,,,0,,0,,,,17,,,,1,,,,,,,
,S/F Tangerine,,,90,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,32,,,,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,20,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This nutrition information is based on standard recipes and product formulations; however; variations may occur due to differences in preparation, serving sizes, ingredients, or special orders. Current recommendations are to limit total saturated fat intake to 20 grams per day and to limit sodium intake to less than 2,400 mg per day for a 2,000 calorie-per-day diet. A 2,000 calorie daily diet is used for the basis of general nutrition advice; individual calorie needs however; may vary. ©2015 RITA’S FRANCHISE COMPANY. ALL RIGHTS RESERVED.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICE FLAVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,Calories from Fat,,,,Fat,,,Saturated Fat,,,,,,,Trans Fat,,,Cholesterol,,,,,,,,Sodium,,,Total Carbohydrates,,,,,,,,Dietary Fiber,,,,Total Sugar,,,,Added Sugar,,,,,,Protein,,,,,Vitamin D,,,,Vitamin D (% DV),,,,,Calcium,,,Calcium (%DV),,,,,Iron,,Iron (%DV),,,,,Potassium,,,Potassium (%DV),
Italian,Apple Berry Blue,,,240,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,40,,,60,,,,,,,,0,,,,58,,,,27,,,,,,0,,,,,0,,,,0,,,,,10,,,0,,,,,0,,0,,,,,21,,,0,
,Banana,,,280,,,,5,,,,1,,,1,,,,,,,0,,,0,,,,,,,,35,,,72,,,,,,,,0,,,,68,,,,66,,,,,,0,,,,,0,,,,0,,,,,7,,,0,,,,,0,,0,,,,,55,,,2,
,Blue Raspberry,,,260,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,35,,,67,,,,,,,,0,,,,65,,,,32,,,,,,0,,,,,0,,,,0,,,,,0,,,0,,,,,0,,0,,,,,0,,,0,
,Blueberry,,,370,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,40,,,95,,,,,,,,0,,,,92,,,,92,,,,,,0,,,,,2,,,,10,,,,,8,,,0,,,,,0,,0,,,,,2,,,0,
,Blueberry Lemonade,,,190,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,35,,,50,,,,,,,,0,,,,46,,,,44,,,,,,0,,,,,0,,,,0,,,,,12,,,0,,,,,0,,0,,,,,33,,,0,
,Carnival,,,250,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,35,,,62,,,,,,,,0,,,,60,,,,25,,,,,,0,,,,,0,,,,0,,,,,7,,,0,,,,,0,,0,,,,,0,,,0,
,Cherry,,,210,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,35,,,53,,,,,,,,0,,,,50,,,,49,,,,,,0,,,,,0,,,,0,,,,,13,,,2,,,,,0,,0,,,,,0,,,0,
,Cherry Lemonade,,,230,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,40,,,59,,,,,,,,0,,,,55,,,,55,,,,,,0,,,,,0,,,,0,,,,,9,,,0,,,,,0,,0,,,,,20,,,1,
,Cherry Limeade,,,200,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,30,,,50,,,,,,,,0,,,,48,,,,48,,,,,,0,,,,,0,,,,0,,,,,9,,,0,,,,,0,,0,,,,,15,,,0,
,Cantaloupe,,,230,,,,0,,,,0,,,0,,,,,,,0,,,0,,,,,,,,40,,,58,,,,,,,,0,,,,56,,,,55,,,,,,0,,,,,0,,,,0,,,,,8,,,0,,,,,0,,0,,,,,17,,,0,
,Chocolate,,,300,,,,5,,,,0,,,0,,,,,,,0,,,0,,,,,,,,55,,,77,,,,,,,,0,,,,74,,,,73,,,,,,1,,,,,0,,,,0,,,,,14,,,2,,,,,1,,4,,,,,80,,,2,
